gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RGR1:SPT3:TFC7,trigenic,C160,-1.5983564947951592,0.2022286087945468,0.2623155354907008,1.1063485118615429e-09,4.867933452190789e-09,1.5983564947951592,True,True
RGR1:YAP6:TFC7,trigenic,C160,-1.6188439357807907,0.1981276149838989,0.26231553549070086,6.770452300847277e-10,3.0478936752807164e-09,1.6188439357807907,True,True
RPD3:SPT3:YAP6,trigenic,C160,-2.163831493176485,0.11488409904962682,0.26231553549070086,1.5977312433813134e-16,2.326108721981618e-15,2.163831493176485,True,True
RPD3:SPT3:TFC7,trigenic,C160,-2.2085360341899745,0.10986136412665191,0.26231553549070097,3.784589899944683e-17,6.142203280238092e-16,2.2085360341899745,True,True
RPD3:YAP6:TFC7,trigenic,C160,-2.2744975625827704,0.10284857042583154,0.2623155354907017,4.289222004506459e-18,8.66597915196203e-17,2.2744975625827704,True,True
SPT3:YAP6:TFC7,trigenic,C160,-1.9142038897576357,0.14745917963260752,0.262315535490701,2.935270692092907e-13,2.270248425915608e-12,1.9142038897576357,True,True
FKH1:GCN5,digenic,C180,0.725042019885064,2.0648178615528385,0.20230756232989205,0.0003385533435133238,0.0007131230001663629,0.725042019885064,True,True
FKH1:MED4,digenic,C180,0.3439528183247784,1.4105120836146507,0.1906743540425712,0.07125080796747567,0.09963036707316512,0.3439528183247784,False,False
FKH1:OPI1,digenic,C180,0.6404628930065385,1.8973589502517871,0.19067435404257096,0.0007824327353414194,0.0015971307381195984,0.6404628930065385,True,True
FKH1:RFX1,digenic,C180,0.31595175755272353,1.371564086421848,0.19067435404257144,0.09751485970166943,0.13081261667297117,0.31595175755272353,False,False
FKH1:RGR1,digenic,C180,0.5000086007207578,1.648735450952365,0.19067435404257113,0.008733415516650238,0.01493278300774393,0.5000086007207578,True,True
FKH1:RPD3,digenic,C180,0.8920865383957949,2.4402159473367004,0.19067435404257083,2.888587193573062e-06,7.987992518540032e-06,0.8920865383957949,True,True
FKH1:SPT3,digenic,C180,0.4339911437118864,1.543405199214839,0.19067435404257163,0.022840889228899385,0.03623794925738845,0.4339911437118864,True,True
FKH1:YAP6,digenic,C180,0.649762994515453,1.9150868891267925,0.19067435404257113,0.0006551036261407641,0.001351151228915326,0.649762994515453,True,True
FKH1:TFC7,digenic,C180,0.546175249742106,1.726636419424637,0.19067435404257108,0.004177472665450848,0.0074651587342894205,0.546175249742106,True,True
GCN5:MED4,digenic,C180,1.0186971628607313,2.7695840953986566,0.21337039187467524,1.803212128849021e-06,5.057167160228132e-06,1.0186971628607313,True,True
GCN5:OPI1,digenic,C180,0.4438897849957952,1.5587586775599744,0.20230756232989205,0.028225818822048363,0.04379868437904056,0.4438897849957952,True,True
GCN5:RFX1,digenic,C180,0.2542931640811343,1.289549798539691,0.20230756232989183,0.20876695578443305,0.2545311406731388,0.2542931640811343,False,False
GCN5:RGR1,digenic,C180,0.40308146912606735,1.4964287994441676,0.20230756232989194,0.046325083729907755,0.06774273691670411,0.40308146912606735,True,False
GCN5:RPD3,digenic,C180,1.0748751757670854,2.9296271892427375,0.2023075623298916,1.0779086989973055e-07,3.557098706691108e-07,1.0748751757670854,True,True
GCN5:SPT3,digenic,C180,0.5558937950071103,1.7434986189280666,0.20230756232989228,0.006000285723170133,0.010569898337968741,0.5558937950071103,True,True
GCN5:YAP6,digenic,C180,0.33766669947653893,1.4016732471142783,0.20230756232989186,0.09510231645045872,0.12827151673835713,0.33766669947653893,False,False
GCN5:TFC7,digenic,C180,1.337222753275576,3.8084517940063742,0.20230756232989186,3.84708187927905e-11,2.036690406677144e-10,1.337222753275576,True,True
MED4:OPI1,digenic,C180,1.3383283193527304,3.812664617464555,0.19067435404257088,2.2358738159728104e-12,1.4280742437503755e-11,1.3383283193527304,True,True
MED4:RFX1,digenic,C180,0.8479130637717704,2.33476924954229,0.19067435404257083,8.711139696538298e-06,2.299740879886111e-05,0.8479130637717704,True,True
MED4:RGR1,digenic,C180,1.0515003067623643,2.8619416891416622,0.1906743540425709,3.494957835371573e-08,1.2183127665555834e-07,1.0515003067623643,True,True
MED4:RPD3,digenic,C180,1.2914569423360398,3.6380831737802835,0.1906743540425709,1.2604958740778258e-11,7.427922115101473e-11,1.2914569423360398,True,True
MED4:SPT3,digenic,C180,0.91330806237454,2.4925544355997253,0.190674354042571,1.668776482960689e-06,4.72025348037452e-06,0.91330806237454,True,True
MED4:YAP6,digenic,C180,0.9857806169278076,2.6799030457993087,0.1906743540425709,2.3413205870224023e-07,7.405454891859995e-07,0.9857806169278076,True,True
MED4:TFC7,digenic,C180,1.090941299511293,2.9770750733775517,0.19067435404257105,1.055942341878865e-08,3.959783782045744e-08,1.090941299511293,True,True
OPI1:RFX1,digenic,C180,0.5942797019551046,1.811725492529026,0.1906743540425709,0.0018287149989509625,0.003522807591200162,0.5942797019551046,True,True
OPI1:RGR1,digenic,C180,0.261115143659134,1.298377156723799,0.19067435404257121,0.17086496259539752,0.21250793086613512,0.261115143659134,False,False
OPI1:RPD3,digenic,C180,1.0644361247744114,2.899203733904954,0.19067435404257077,2.371103320966288e-08,8.535971955478636e-08,1.0644361247744114,True,True
OPI1:SPT3,digenic,C180,0.6065363170268061,1.834067755066642,0.1906743540425709,0.0014676444974252522,0.002860173331596456,0.6065363170268061,True,True
OPI1:YAP6,digenic,C180,0.588344619552503,1.8010045986048606,0.19067435404257108,0.0020314250089619175,0.003875167430197954,0.588344619552503,True,True
OPI1:TFC7,digenic,C180,0.4646320000673667,1.5914284355580428,0.19067435404257102,0.014818574241041629,0.024409964224012,0.4646320000673667,True,True
RFX1:RGR1,digenic,C180,0.3593309126915315,1.432370712803558,0.19067435404257121,0.059493765667255144,0.08450334004387747,0.3593309126915315,False,False
RFX1:RPD3,digenic,C180,0.9981791054100086,2.713336627494756,0.19067435404257096,1.6499019496506719e-07,5.303256266734302e-07,0.9981791054100086,True,True
RFX1:SPT3,digenic,C180,0.3162763061610951,1.3720092978798601,0.1906743540425712,0.09717123175228463,0.13069302701444924,0.3162763061610951,False,False
RFX1:YAP6,digenic,C180,0.27875804947983984,1.3214875705813551,0.19067435404257096,0.1437525007960862,0.18386947776243584,0.27875804947983984,False,False
RFX1:TFC7,digenic,C180,0.36479824589326226,1.4402234078481475,0.1906743540425705,0.05572240538330391,0.0794887339041367,0.36479824589326226,False,False
RGR1:RPD3,digenic,C180,0.9480051286327309,2.580556642663967,0.19067435404257155,6.631549843093349e-07,1.9787769057556605e-06,0.9480051286327309,True,True
RGR1:SPT3,digenic,C180,0.46907497718731694,1.5985148464087324,0.1906743540425706,0.01389043999117038,0.023033762419080953,0.46907497718731694,True,True
RGR1:YAP6,digenic,C180,0.4829984863183915,1.6209274514421452,0.19067435404257105,0.011305652860936051,0.019132643303122546,0.4829984863183915,True,True
RGR1:TFC7,digenic,C180,0.7669816662687464,2.153257186659574,0.1906743540425712,5.75912514379751e-05,0.00013607479456705335,0.7669816662687464,True,True
RPD3:SPT3,digenic,C180,0.8573280943382391,2.3568549791572497,0.1906743540425707,6.914786935211406e-06,1.830384776967725e-05,0.8573280943382391,True,True
